date,warrior,ao,type,notes
2026-01-16,Depends (3rdF Q),winter_warrior_2026,EC,3.25
2026-01-16,Mr. Kotter,winter_warrior_2026,EC,3.17
2026-01-16,Dilly Dilly,the-ridge,Post,the-ridge - Morty’s Bullseye BC
2026-01-16,Duck Hunt,da-grizz,Post,da-grizz - Against the odds
2026-01-16,Foreclosure,downrange,Post,downrange - 3R beatdown
2026-01-17,Duck Hunt,da-grizz-ebc,Post,da-grizz-ebc - Boom
2026-01-17,Mr. Kotter,da-grizz-ebc,Post,da-grizz-ebc - Boom
2026-01-17,Deja vu,3rd-f,QS/3rdF,Picking up Wreaths
2026-01-17,Duck Hunt,da-grizz,Post,da-grizz - Windchill and Mumblechatter
2026-01-17,Mr. Kotter,da-grizz,Post,da-grizz - Windchill and Mumblechatter
2026-01-17,Deja vu,downrange,Post,downrange - Rick Club at The Wood
2026-01-17,Depends (3rdF Q),winter_warrior_2026,EC,7.19
2026-01-17,Soft Hands,the-ridge,Post,the-ridge - Ultimate Football
2026-01-17,Dilly Dilly,the-colosseum,Post,the-colosseum - Pop tarts Dora and Run!
2026-01-17,Foghorn,the-colosseum,Post,the-colosseum - Pop tarts Dora and Run!
2026-01-17,Hodl,the-colosseum,Post,the-colosseum - Pop tarts Dora and Run!
2026-01-17,Party in a bottle,the-colosseum,Post,the-colosseum - Pop tarts Dora and Run!
2026-01-18,Pull-up,winter_warrior_2026,EC,5.03
2026-01-18,Deja vu,winter_warrior_2026,EC,3.52
2026-01-18,Deja vu,winter_warrior_2026,EC,2.58
2026-01-18,Slackbot,winter_warrior_2026,EC,2.58
2026-01-18,Mr. Kotter,2nd-f,2ndF,Darn cold ruck
2026-01-19,Spit Valve,the-colosseum,Post,the-colosseum - Bear Down ?
2026-01-19,Depends (3rdF Q),winter_warrior_2026,EC,3.35
2026-01-19,Spit Valve,the-colosseum,Q,the-colosseum - Bear Down ?
2026-01-19,Spit Valve,winter_warrior_2026,EC,1.67
2026-01-19,Hodl,the-ridge,Post,the-ridge - Colder then cold Monday morning
2026-01-19,Mr. Kotter,the-ridge,Post,the-ridge - Colder then cold Monday morning
2026-01-19,Deja vu,downrange,Post,downrange - Picasso Q at The Wood
2026-01-19,Pull-up,winter_warrior_2026,EC,3.19
2026-01-19,Stitch,the-silo,Post,the-silo - Antarctica at The Silo with EC and Foghorn
2026-01-19,Foghorn,the-silo,Post,the-silo - Antarctica at The Silo with EC and Foghorn
2026-01-19,Foghorn,the-silo,Q,the-silo - Antarctica at The Silo with EC and Foghorn
2026-01-19,Sparkler,winter_warrior_2026,EC,3.2
2026-01-19,Depends (3rdF Q),the-silo,Post,the-silo - Antarctica at The Silo with EC and Foghorn
2026-01-19,Pull-up,the-silo,Post,the-silo - Antarctica at The Silo with EC and Foghorn
2026-01-19,Sparkler,the-silo,Post,the-silo - Antarctica at The Silo with EC and Foghorn
2026-01-20,Deja vu,downrange,Post,downrange - 3 Rivers: Pearls on a String and a Double Dora
2026-01-20,Duck Hunt,winter_warrior_2026,EC,3.18
2026-01-20,Foreclosure,winter_warrior_2026,EC,3.18
2026-01-20,Pull-up,the-colosseum,Post,the-colosseum - Poptart’s Pavilion Party
2026-01-20,Mr. Kotter,winter_warrior_2026,EC,4.0
2026-01-20,Dauber,winter_warrior_2026,EC,1.0
2026-01-20,Pull-up,winter_warrior_2026,EC,3.0
2026-01-20,Sparkler,winter_warrior_2026,EC,3.18
2026-01-20,Hodl,black-diamond,Post,black-diamond - Spit valve run club
2026-01-20,Depends (3rdF Q),black-rock,Post,black-rock - Sparkler and Duck Hunt Co-Q
2026-01-20,Spit Valve,black-diamond,Post,black-diamond - Spit valve run club
2026-01-20,Spit Valve,black-diamond,Q,black-diamond - Spit valve run club
2026-01-20,Foreclosure,black-rock,Post,black-rock - Sparkler and Duck Hunt Co-Q
2026-01-20,Mr. Kotter,black-diamond,Post,black-diamond - Spit valve run club
2026-01-20,Soft Hands,black-rock,Post,black-rock - Sparkler and Duck Hunt Co-Q
2026-01-20,Chum Bucket,black-diamond,Post,black-diamond - Spit valve run club
2026-01-20,Sparkler,black-rock,Post,black-rock - Sparkler and Duck Hunt Co-Q
2026-01-20,Sparkler,black-rock,Q,black-rock - Sparkler and Duck Hunt Co-Q
2026-01-20,Duck Hunt,black-rock,Post,black-rock - Sparkler and Duck Hunt Co-Q
2026-01-20,Chum Bucket,winter_warrior_2026,EC,1.0
2026-01-20,Dilly Dilly,black-diamond,Post,black-diamond - Spit valve run club
2026-01-20,Dauber,black-diamond,Post,black-diamond - Spit valve run club
2026-01-21,Spit Valve,winter_warrior_2026,EC,7.5
2026-01-21,Foreclosure,winter_warrior_2026,EC,3.11
2026-01-21,Sparkler,winter_warrior_2026,EC,4.45
2026-01-21,Deja vu,winter_warrior_2026,EC,1.24
2026-01-21,Dauber,winter_warrior_2026,EC,3.36
2026-01-21,Pull-up,winter_warrior_2026,EC,3.18
2026-01-21,Mr. Kotter,winter_warrior_2026,EC,3.19
2026-01-21,Chum Bucket,winter_warrior_2026,EC,2.0
2026-01-21,Dauber,3rd-f-qsource,Q,3rd-f-qsource - M Source Week #3
2026-01-21,Dilly Dilly,the-ridge,Post,the-ridge - Straight out and back
2026-01-21,Depends (3rdF Q),the-silo,Q,the-silo - Cake and Ice Cream! j/k Cake and Burpees
2026-01-21,Depends (3rdF Q),the-silo,Post,the-silo - Cake and Ice Cream! j/k Cake and Burpees
2026-01-21,Foghorn,the-silo,Post,the-silo - Cake and Ice Cream! j/k Cake and Burpees
2026-01-21,Foghorn,3rd-f-qsource,QS/3rdF,M Source Week #3
2026-01-21,Hodl,3rd-f-qsource,QS/3rdF,M Source Week #3
2026-01-21,Mr. Kotter,3rd-f-qsource,QS/3rdF,M Source Week #3
2026-01-21,Foreclosure,the-silo,Post,the-silo - Cake and Ice Cream! j/k Cake and Burpees
2026-01-21,Sparkler,the-ridge,Post,the-ridge - Straight out and back
2026-01-21,Depends (3rdF Q),3rd-f-qsource,QS/3rdF,M Source Week #3
2026-01-21,Dauber,3rd-f-qsource,QS/3rdF,M Source Week #3
2026-01-21,Chum Bucket,the-silo,Post,the-silo - Cake and Ice Cream! j/k Cake and Burpees
2026-01-21,Pull-up,the-ridge,Q,the-ridge - Straight out and back
2026-01-21,Pull-up,the-ridge,Post,the-ridge - Straight out and back
2026-01-21,Mr. Kotter,the-ridge,Post,the-ridge - Straight out and back
2026-01-21,Mr. Kotter,winter_warrior_2026,EC,4.0
2026-01-21,Deja vu,downrange,Post,downrange - Rooney’s 7’s at The Wood
2026-01-21,Foreclosure,2nd-f,2ndF,"Villa, back in action. Prairie Bluff Golf Club"
2026-01-21,Soft Hands,the-ridge,Post,the-ridge - Straight out and back
2026-01-21,Dauber,the-ridge,Post,the-ridge - Straight out and back
2026-01-22,Chum Bucket,winter_warrior_2026,EC,1.0
2026-01-22,Sparkler,black-diamond,Post,black-diamond - Leg Day by Mr Kotter
2026-01-22,Depends (3rdF Q),3rd-f-qsource,Q,3rd-f-qsource - Group!
2026-01-22,Hodl,the-colosseum,Post,the-colosseum - The Thing’s Failures
2026-01-22,Chum Bucket,3rd-f-qsource,QS/3rdF,Group!
2026-01-22,Mr. Kotter,black-diamond,Q,black-diamond - Leg Day by Mr Kotter
2026-01-22,Deja vu,the-colosseum,Post,the-colosseum - The Thing’s Failures
2026-01-22,Broomstick,black-diamond,Post,black-diamond - Leg Day by Mr Kotter
2026-01-22,Pull-up,3rd-f-qsource,QS/3rdF,Group!
2026-01-22,Foreclosure,black-diamond,Post,black-diamond - Leg Day by Mr Kotter
2026-01-22,Pull-up,black-diamond,Post,black-diamond - Leg Day by Mr Kotter
2026-01-22,Deja vu,winter_warrior_2026,EC,0.77
2026-01-22,Pull-up,winter_warrior_2026,EC,3.5
2026-01-22,Party in a bottle,the-colosseum,Q,the-colosseum - The Thing’s Failures
2026-01-22,Depends (3rdF Q),3rd-f-qsource,QS/3rdF,Group!
2026-01-22,Mr. Kotter,black-diamond,Post,black-diamond - Leg Day by Mr Kotter
2026-01-22,Party in a bottle,the-colosseum,Post,the-colosseum - The Thing’s Failures
2026-01-22,Foghorn,black-diamond,Post,black-diamond - Leg Day by Mr Kotter
2026-01-22,Dilly Dilly,the-ridge,Post,the-ridge - Hoosiers on Ice at The Ridge ❄️?
2026-01-22,Sparkler,winter_warrior_2026,EC,3.68
2026-01-22,Chum Bucket,el-coyote,Q,el-coyote - Chum Run
2026-01-22,Chum Bucket,el-coyote,Post,el-coyote - Chum Run
2026-01-22,Mr. Kotter,winter_warrior_2026,EC,4.13
2026-01-23,Party in a bottle,the-colosseum,Post,the-colosseum - Jelly’s Icy Pearls
2026-01-23,Spit Valve,the-olympiad,Post,the-olympiad - Gopher ICE Run
2026-01-23,Duck Hunt,da-grizz,Post,da-grizz - No Ozark Shorts today ❄️
2026-01-23,Soft Hands,the-olympiad,Post,the-olympiad - Gopher ICE Run
2026-01-23,Foghorn,the-grove,Post,the-grove - Hatchet is Back at Grove Fridays!
2026-01-23,Sparkler,winter_warrior_2026,EC,4.0
2026-01-23,Sparkler,the-grove,Post,the-grove - Hatchet is Back at Grove Fridays!
2026-01-23,Slackbot,downrange,Q,downrange - DR RC at BP
2026-01-23,Depends (3rdF Q),the-olympiad,Post,the-olympiad - Gopher ICE Run
2026-01-23,Slackbot,downrange,Post,downrange - DR RC at BP
2026-01-23,Foreclosure,winter_warrior_2026,EC,3.24
2026-01-23,Dauber,winter_warrior_2026,EC,3.5
2026-01-23,Soft Hands,winter_warrior_2026,EC,3.5
2026-01-23,Depends (3rdF Q),winter_warrior_2026,EC,3.5
2026-01-23,Dauber,the-olympiad,Post,the-olympiad - Gopher ICE Run
2026-01-23,Spit Valve,winter_warrior_2026,EC,1.0
2026-01-24,Chum Bucket,winter_warrior_2026,EC,3.19
2026-01-24,Foreclosure,winter_warrior_2026,EC,1.67
2026-01-24,Party in a bottle,the-colosseum,Post,the-colosseum - Hank Hills -6 Beatdown!
2026-01-24,Hodl,the-ridge,Q,the-ridge - Holds Ruck Club with Merkins - Too cold for a pict...
2026-01-24,Foreclosure,the-colosseum,Post,the-colosseum - Hank Hills -6 Beatdown!
2026-01-24,Chum Bucket,the-colosseum,Post,the-colosseum - Hank Hills -6 Beatdown!
2026-01-24,Hodl,the-ridge,Post,the-ridge - Holds Ruck Club with Merkins - Too cold for a pict...
2026-01-24,Pull-up,winter_warrior_2026,EC,5.04
2026-01-24,Depends (3rdF Q),da-grizz,Post,da-grizz - Thesaurus on Q!
2026-01-24,Soft Hands,the-colosseum,Post,the-colosseum - Hank Hills -6 Beatdown!
2026-01-24,Dilly Dilly,the-colosseum,Post,the-colosseum - Hank Hills -6 Beatdown!
2026-01-24,Mr. Kotter,downrange,Post,downrange - Tinman VQ
2026-01-24,Depends (3rdF Q),da-grizz,Post,"da-grizz - ""Hey Boo Boo, it's -25 degrees time for a Ruck to ..."
2026-01-24,Mr. Kotter,downrange,Post,downrange - Outlands Convergence
2026-01-24,Slackbot,downrange,Q,downrange - Outlands Convergence
2026-01-24,Slackbot,downrange,Post,downrange - Outlands Convergence
2026-01-25,Hodl,2nd-f,2ndF,Heatwave ruck
2026-01-25,Foreclosure,winter_warrior_2026,Snowman,Snowman LBS
2026-01-25,Mr. Kotter,winter_warrior_2026,EC,1.93
2026-01-25,Deja vu,winter_warrior_2026,EC,4.23
2026-01-26,Dauber,winter_warrior_2026,EC,3.0
2026-01-26,Pull-up,winter_warrior_2026,EC,3.0
2026-01-26,Depends (3rdF Q),the-colosseum,Post,the-colosseum - Chilly Run
2026-01-26,Deja vu,winter_warrior_2026,EC,1.12
2026-01-26,Deja vu,downrange,Q,downrange - BC at The Wood
2026-01-26,Deja vu,downrange,Post,downrange - BC at The Wood
2026-01-26,Depends (3rdF Q),winter_warrior_2026,EC,3.4
2026-01-26,Sparkler,winter_warrior_2026,EC,3.66
2026-01-26,Stitch,the-ridge,Post,the-ridge - The cold don’t stop Poptart
2026-01-26,Foreclosure,the-grove,Post,the-grove - Keep moving with Dauber
2026-01-26,Hodl,the-ridge,Post,the-ridge - The cold don’t stop Poptart
2026-01-26,Pull-up,the-silo,Post,the-silo - Not Hawaii
2026-01-26,Party in a bottle,the-silo,Post,the-silo - Not Hawaii
2026-01-26,Chum Bucket,winter_warrior_2026,EC,2.0
2026-01-26,Dauber,the-grove,Q,the-grove - Keep moving with Dauber
2026-01-26,Dauber,the-grove,Post,the-grove - Keep moving with Dauber
2026-01-26,Chum Bucket,the-grove,Post,the-grove - Keep moving with Dauber
2026-01-26,Sparkler,the-colosseum,Post,the-colosseum - Chilly Run
2026-01-26,Foreclosure,winter_warrior_2026,EC,3.1
2026-01-27,Soft Hands,downrange,Post,downrange - Run club at the wood
2026-01-27,Deja vu,downrange,Post,downrange - BC at Three Rivers - Ricola Q
2026-01-27,Pull-up,the-ridge,Post,the-ridge - Sparkler’s Wind or no Wind
2026-01-27,Deja vu,downrange,Q,downrange - BC at Three Rivers - Ricola Q
2026-01-27,Sparkler,the-ridge,Post,the-ridge - Sparkler’s Wind or no Wind
2026-01-27,Slackbot,downrange,Q,downrange - Run club at the wood
2026-01-27,Sparkler,the-ridge,Q,the-ridge - Sparkler’s Wind or no Wind
2026-01-27,Deja vu,winter_warrior_2026,EC,1.01
2026-01-27,Slackbot,downrange,Post,downrange - Run club at the wood
2026-01-27,Mr. Kotter,winter_warrior_2026,EC,2.0
2026-01-27,Foreclosure,downrange,Post,downrange - Run club at the wood
2026-01-27,Chum Bucket,the-ridge,Post,the-ridge - Sparkler’s Wind or no Wind
2026-01-27,Dilly Dilly,the-ridge,Post,the-ridge - Sparkler’s Wind or no Wind
2026-01-27,Mr. Kotter,winter_warrior_2026,EC,3.0
2026-01-27,Sparkler,winter_warrior_2026,EC,3.12
2026-01-27,Depends (3rdF Q),black-rock,Post,black-rock - Cutler's Emergency Themed Workout
2026-01-27,Dauber,black-diamond,Post,black-diamond - Spit valve run club
2026-01-27,Spit Valve,black-diamond,Q,black-diamond - Spit valve run club
2026-01-27,Foreclosure,winter_warrior_2026,EC,3.12
2026-01-27,Pull-up,winter_warrior_2026,EC,3.0
2026-01-27,Spit Valve,black-diamond,Post,black-diamond - Spit valve run club
2026-01-28,Deja vu,downrange,Post,downrange - BC at The Wood. Binford on Q
2026-01-28,Deja vu,winter_warrior_2026,Donation,Donation
2026-01-28,Chum Bucket,winter_warrior_2026,EC,2.5
2026-01-28,Pull-up,winter_warrior_2026,EC,3.18
2026-01-28,Deja vu,downrange,Q,downrange - BC at The Wood. Binford on Q
2026-01-28,Foreclosure,winter_warrior_2026,EC,3.14
2026-01-28,Duck Hunt,winter_warrior_2026,EC,3.14
2026-01-28,Foghorn,the-silo,Post,the-silo - Wazzzup Wednesday w/ PullUp
2026-01-28,Pull-up,the-silo,Post,the-silo - Wazzzup Wednesday w/ PullUp
2026-01-28,Pull-up,the-silo,Q,the-silo - Wazzzup Wednesday w/ PullUp
2026-01-28,Sparkler,winter_warrior_2026,EC,3.14
2026-01-28,Mr. Kotter,winter_warrior_2026,EC,3.09
2026-01-28,Slackbot,winter_warrior_2026,Donation,Donation
2026-01-28,Soft Hands,the-ridge,Post,the-ridge - Which way did he go??
2026-01-28,Deja vu,winter_warrior_2026,EC,2.05
2026-01-28,Dauber,winter_warrior_2026,EC,3.09
2026-01-28,Soft Hands,winter_warrior_2026,EC,3.09
2026-01-28,Duck Hunt,ravens-nest,Post,ravens-nest - Ozark @Ravens Nest
2026-01-28,Dilly Dilly,the-ridge,Post,the-ridge - Which way did he go??
2026-01-28,Dauber,the-ridge,Post,the-ridge - Which way did he go??
2026-01-28,Hodl,dmz,Q,dmz - HODL did the DMZ
2026-01-28,Chum Bucket,the-ridge,Post,the-ridge - Which way did he go??
2026-01-28,Spit Valve,winter_warrior_2026,EC,1.2
2026-01-28,Mr. Kotter,the-ridge,Post,the-ridge - Which way did he go??
2026-01-28,Spit Valve,the-ridge,Post,the-ridge - Which way did he go??
2026-01-28,Mr. Kotter,winter_warrior_2026,Donation,donation $25
2026-01-28,Mr. Kotter,winter_warrior_2026,EC,1.16
2026-01-28,Foreclosure,ravens-nest,Post,ravens-nest - Ozark @Ravens Nest
2026-01-28,Sparkler,ravens-nest,Post,ravens-nest - Ozark @Ravens Nest
2026-01-28,Hodl,dmz,Post,dmz - HODL did the DMZ
2026-01-28,Mr. Kotter,the-ridge,Q,the-ridge - Which way did he go??
2026-01-29,Sparkler,winter_warrior_2026,EC,2.5
2026-01-29,Mr. Kotter,el-coyote,Post,el-coyote - Pearls 2nd Q
2026-01-29,Hodl,3rd-f-qsource,QS/3rdF,The art of turning Interruption into Invitation!!
2026-01-29,Foghorn,3rd-f-qsource,QS/3rdF,The art of turning Interruption into Invitation!!
2026-01-29,Depends (3rdF Q),3rd-f-qsource,QS/3rdF,QSOURCE-LDP
2026-01-29,Mr. Kotter,3rd-f-qsource,QS/3rdF,The art of turning Interruption into Invitation!!
2026-01-29,Deja vu,winter_warrior_2026,EC,0.95
2026-01-29,Depends (3rdF Q),winter_warrior_2026,EC,3.19
2026-01-29,Foreclosure,winter_warrior_2026,EC,1.0
2026-01-29,Sparkler,black-diamond,Post,black-diamond - BD Fit Check
2026-01-29,Foreclosure,black-diamond,Q,black-diamond - BD Fit Check
2026-01-29,Foreclosure,black-diamond,Post,black-diamond - BD Fit Check
2026-01-29,Mr. Kotter,black-diamond,Post,black-diamond - BD Fit Check
2026-01-29,Chum Bucket,winter_warrior_2026,EC,2.5
2026-01-29,Foghorn,3rd-f-qsource,Q,3rd-f-qsource - The art of turning Interruption into Invitation!!
2026-01-29,Party in a bottle,the-colosseum,Post,the-colosseum - Ladder By Threes
2026-01-29,Pull-up,winter_warrior_2026,EC,1.87
2026-01-29,Deja vu,the-olympiad,Post,the-olympiad - Déjà vu’s Bootcamp w/ commercials
2026-01-29,Deja vu,the-olympiad,Q,the-olympiad - Déjà vu’s Bootcamp w/ commercials
2026-01-29,Depends (3rdF Q),the-olympiad,Post,the-olympiad - Déjà vu’s Bootcamp w/ commercials
2026-01-29,Pull-up,the-olympiad,Post,the-olympiad - Déjà vu’s Bootcamp w/ commercials
2026-01-29,Dauber,3rd-f-qsource,QS/3rdF,The art of turning Interruption into Invitation!!
2026-01-29,Depends (3rdF Q),3rd-f-qsource,QS/3rdF,The art of turning Interruption into Invitation!!
2026-01-29,Pull-up,3rd-f-qsource,QS/3rdF,QSOURCE-LDP
2026-01-30,Broomstick,the-ridge,Post,the-ridge - Privilege of Pressure
2026-01-30,Hodl,winter_warrior_2026,EC,1.55
2026-01-30,Mr. Kotter,winter_warrior_2026,EC,1.55
2026-01-30,Slackbot,downrange,Q,downrange - DR F3 Louisville @Pleasantville | Steve-O Q
2026-01-30,Slackbot,downrange,Post,downrange - DR F3 Louisville @Pleasantville | Steve-O Q
2026-01-30,Hodl,the-ridge,Post,the-ridge - Privilege of Pressure
2026-01-30,Mr. Kotter,the-ridge,Post,the-ridge - Privilege of Pressure
